title,abstract,publish
Covalently Tethered Assemblies Improve Energetic Homogeneity and Exciton Transport in Organic Materials,"Structural and functional heterogeneity is a consequence of the weak noncovalent interactions that direct the formation of organic materials from solution precursors. While covalent tethering of solution-phase assemblies provides a compelling strategy to enhance intermolecular order, the effects of this tethering strategy on the formed solid-state materials remain unestablished. This work uses pump-probe microscopy to compare excited-state dynamics in thin films fabricated from tethered perylene bisimide assemblies to those fabricated from noncovalent assemblies. On average, tethered films exhibit faster and more homogeneous excited-state lifetimes, consistent with stronger and more uniform intermolecular coupling. Optical measurements of excited-state diffusion show that the tethered film has similar to 75% faster transport than the control film. Kinetic Monte Carlo modeling suggests that the reduction of site energetic disorder is sufficient to quantitatively explain the difference in diffusion coefficients. These results provide strong support that covalent tethering is a promising strategy to enhance the structural and energetic ordering in molecular materials.",2024
Diagnostics Development for and Study of Energetic Materials Subject to Shock Loading,"A wide range of shock physics experiments require a high pressure, 2D-planar shock with pressure and temporal uniformity. Researchers, traditionally, would utilize a gas gun facility or high explosive plane wave lens. These techniques have several limitations. Gun facilities have high facility cost and long experiment times. Legacy fast-slow explosive lenses require labor intensive and high risk, high precision pressed or casted and, subsequently, machined explosives. Any design changes made with the explosives in such traditional lenses leads to significant increases in cost and time. Previous groups demonstrated that inert waveguides can generate a planar shock using only a single explosive formulation. These inert or Fritz plane wave lenses also have significantly lower net explosive weight and can be printed in parallel as opposed to single machining operations. By utilizing 3D printing and hydrodynamic modeling, a wide design space was explored experimentally and computationally to optimize the pressure and temporal uniformity of lenses. Statistical design of experiments was used to visualize and interpret an extensive set of simulations to inform experimental geometries. Using a cast cure explosive formulation, 3D printed lenses were fabricated at the 1” and 2” diameter scale. Lenses were evaluated using streak photography and photon Doppler velocimetry. Results of simulations and experiments illustrate key design parameters including the waveguide contour radius and explosive formulation composition. After calibration and geometry optimization, lenses had a temporal and pressure uniformity of < 50 ns and < 3 GPa respectively. Simulations and experiments were conducted to control the shock-to-detonation transition by energy trapping in localized regions of nitromethane that contained arrays of embedded dense particles (tantalum rods). The localizations were additively manufactured and designed. with simulations carried out with ALE3D, that used the ignition and growth reactive flow model for the explosive. Modelling demonstrated enhanced reactivity when the tantalum rods were present, leading to a detonation that otherwise did not occur for the same strength shock without rods. Experiments that confirmed predictions of the simulation were conducted using Fritz plane wave lenses to drive various input shocks into the system. Photon doppler velocimetry was the primary diagnostic used to measure shock input and reaction progression. These results suggest that it is possible design explosives to localize sensitivity to shock loading within an insensitive material increasing the overall safety of fielded energetic materials.Simulations and experiments were conducted to control energy released during explosive corner turning within localized regions of nitromethane. These localized geometries were additively manufactured and tuned based on simulations carried out in ALE3D. High explosive ignition and growth reactive flow modeling identified specific high impedance inclusion geometries for given donor-acceptor charge geometries that would induce corner turning when present. Synthetic, pressure-dependent streak camera images were generated in simulations to inform experimental results. Experiments were conducted using Fritz plane wave lenses to drive planar input shocks into the system. Ultra-high-speed framing and streak camera imaging was used to view shock time of arrivals within manufactured metamaterials. Framing camera images revealed localized instabilities within the nitromethane that were not present in untuned experiments. Streak camera imaging was used to measure corner turning time of arrival at the boundaries of the experimental geometry. Corner turning did not occur in simulations or experiments that did not include the tuned inclusions. These results suggest that it is possible to localize sensitivity to detonation within an insensitive material increasing the overall safety of fielded energetic materials. To date plastic bonded explosives used in commercial, military, and research have been largely formulated using slurry coating. There are ongoing initiatives to replace per- and polyfluorinated substances. The question is how to replace these in various energetic formulations without sacrificing safety and performance. Spray drying is an alternative processing technique that can provide several advantages to slurry coating. Unlike some forms of slurry coating, spray drying does not require a fluorinated working fluid. Spray drying does not require the use of water and is easily adapted to processing under inert atmospheres, allowing for a wider range of compatibility for additives. Cyclotetramethylene tetranitramine (HMX) was spray dried with Viton A-100 and with Estane-5703 to serve as direct comparisons to PBXN-5 and LX-14, respectively. The resultant molding powders were tested for impact, electrostatic discharge, and friction sensitivity. Spray-dried formulations were found to be less impact sensitive than commercially obtained PBXN-5 and LX-14. Electrostatic discharge and friction sensitivity were found to be sufficiently low to classify molding powders as secondary explosives. The disk acceleration experiment was conducted on pressed samples to measure detonation velocity and CJ-pressure. Results are compared to commercially obtained PBXN-5 and LX-14 pressed to similar densities.A small detonation chamber was designed, manufactured, and tested to facilitate near field imaging of detonation driven experiments. The chamber was constructed from 0.50” thick mild steel and has feedthroughs for both fiber optic instrumentation and high voltage cables. The chamber was equipped with viewing ports on the front, top, left, and right side for ultra-high-speed imaging and illumination. Qualification testing was conducted to rate the chamber to a working mass of 5 grams of trinitrotoluene. Thick and thin flyer plates were found to minimally damage the interior of the chamber. Blast overpressure testing found no damage to the chamber and optical viewports and minimal damage to feed throughs. Explosive spall damage was investigated due to unintentional contact with the chamber walls and found to induce moderate damage with potential equipment damage if not protected against.",2024
Direct observations of ultrasonically generated hot spots in polymer composite energetic materials,"Thermally dissipated energy from periodic mechanical action can lead to the creation of areas of intense, localized heating in heterogeneous composite materials, called hot spots. Measurements of hot spots have been performed in shock, impact, and friction studies of energetic materials, amongst others. In this work, high-frequency contact loading allows for the controlled development of hot spots near explosive crystals embedded in polymer with temperature gradients suitable for shadowgraph visualization. Heat dissipation initiated the delamination of crystal-binder interfaces, which led to increased heating from interfacial motion and further delamination propagation. A variety of explosives were considered. Low melting point explosives were driven to reaction despite a hypothesized reduction in interfacial friction upon melting, and crystals with controlled surface morphology still experienced damage. Shadowgraphy allows nonintrusive access to internally developing hot spots which, in turn, enables the identification of heat generation mechanisms to inform our understanding of explosive initiation. (c) 2021 The Combustion Institute. Published by Elsevier Inc. All rights reserved.",2022
Novel X-Ray and Optical Diagnostics for Studying Energetic Materials: A Review,"Thermomechanical, physical, and chemical processes in energetic materials (EMs) during manufacturing and processing or under external stimuli such as shock compression, involve multiple temporal and spatial scales. Discovering novel phenomena, acquiring new data, and understanding underlying mechanisms all require temporally and spatially resolved diagnostics. Here, we present a brief review of novel diagnostics that are either emerging or have existed but rarely been applied to EMs, including two-dimensional (2D) and three-dimensional (3D) X-ray imaging, X-ray diffraction, coherent X-ray diffraction imaging, small angle X-ray scattering, terahertz and optical absorption/emission spectroscopy, and one-dimensional (1D) and 2D laser-based velocity/displacement interferometry. Typical spatial scales involved are lattice (nanometer and micrometer) and typical temporal scales (femtosecond, picosecond, nanosecond, microsecond, and millisecond). The targeted scientific questions and engineering problems include defects, strengths, deformations, hot spots, phase changes, reactions, and shock sensitivities. Basic principles of measurement and data analysis, and illustrative examples of these are presented. Advanced measurements and experimental complexities also necessitate further development in corresponding data analysis and interpretation methodologies, and multiscale modeling. (C) 2020 THE AUTHORS. Published by Elsevier LTD on behalf of Chinese Academy of Engineering and Higher Education Press Limited Company.",2020
Initiation of the Decomposition of a Semi-Transparent Mixture of Energetic Materials,"In this paper, we propose a model for the heating and decomposition of a binary mixture of energetic materials by a short laser pulse which takes into account melting and the formation of a two-phase zone and the decomposition reaction of the individual components of the mixture. A binary solution of furazanotetrazine-dioxide (C2N6O3) and dinitrazapentane (C3H8N4O4) was studied as a model system. The pressure change in the reaction zone was calculated, and the effect of pressure on the rate of decomposition reactions was examined. Numerical investigations were performed to study the dynamics of the process and determine the main stages of the process: melting, the propagation of reaction zones in the mixture, the rapid development of an explosion or the termination of reactions, depending on the amount of stored energy. The influence of the optical properties of the mixture on the initiation dynamics was demonstrated.",2018
Simultaneous Imaging and Spectroscopy of Detonation Interaction in Reactive and Energetic Materials,"A dual framing camera system was coupled with custom-designed ultrafast imaging spectrometer optics to yield simultaneous imaging and imaging spectroscopy of extremely short detonation interaction events in reactive materials. For short exposures of 100ns or less, spectral resolutions of 2.4 angstrom are achievable, allowing for time-resolved identification of key intermediate species evolving from prompt reaction. Under some circumstances, emission can be fit to a local emission temperature, assuming the optically thin limit. Applications to reactive metal systems involving aluminum, magnesium, titanium, boron, and silicon are demonstrated.",2017
The Use of Glass Anvils in Drop-Weight Studies of Energetic Materials,"Conventional impact sensitiveness machines (e.g. Rotter and BAM) do not provide detailed information about hot-spot ignition mechanisms in energetic materials. To gain further insight, a glass anvil technique was developed at Cambridge in the early 1950s, which allowed high-speed photographic studies to be performed during impact on energetic liquids, explosive powders and crystals. Herein we review such investigations which continue up to the present day.",2015
"A thermomechanical analysis of hot spot formation in condensed-phase, energetic materials","This research studies the formation and growth to detonation of hot spots in porous, energetic materials by shock wave. The condensed-phase and gas-phase governing equations, and the initial and the interface conditions are derived, in which, a viscoplastic pore collapse analysis is established to include important processes such as viscoplastic heating, finite-rate gas chemical effects, mass transfer, surface decomposition of the pore, and heat exchange between the pore gas and surrounding material. The governing equations are then simplified by an integral method and the use of average properties in gas phase. Two gas-phase reaction mechanisms are used, one having a finite-rate, one-step process, and another involving 167 elementary reactions and 43 chemical species. The governing equations together with the initial and interface conditions are solved numerically for a series of test cases for RDX (C$\sb3$H$\sb6$N$\sb6$O$\sb6$), as well as PBX9404 (C$\sb{1.40}$H$\sb{2.75}$N$\sb{2.57}$O$\sb{2.69}$Cl$\sb{0.03}$P$\sb{0.01}$) in the case of pulse shock loading. The results show that the viscoplastic pore collapse hot spot model is feasible for shock initiation of porous, energetic materials. Viscoplastic heating is an effective mechanism in the ignition of shocked reactive materials. In addition, it is demonstrated that the initial porosity of the material, the initial pore inner radius, the material viscosity and yield strength have strong influence on the hot spot formation. When the pore collapse velocity is large, the viscous work is the dominant heating source. Compared to single reaction, the multiple gas-phase reactions demonstrates a two-tier induction stage prior to pore explosion. The agreement between the results of calculations and experiments is good.",1991
Predicting the thermal decomposition temperature of energetic materials from a simple model,"ContextThe key factor in designing heat-resistant energetic materials is their thermal sensitivity. Further research and prediction of thermal sensitivity remains a great challenge for us. This study is based on first-principles calculations and establishes a theoretical model, which comprehensively considers band gap, density of states, and Young's modulus to obtain a empirical parameter Psi. A quantitative relationship was established between the new parameter and the thermal decomposition temperature. The value of Psi is calculated for 10 energetic materials and is found to have a strong correlation with the experimental thermal decomposition temperature. This further proves the reliability of our model. Specifically, the larger the value of Psi, the higher the thermal decomposition temperature, and the more stable the energetic material will be. Therefore, to some extent, we can use the new parameter Psi calculated by the model to predict thermal sensitivity. MethodsBased on first-principles, this paper used the Cambridge Serial Total Energy Package (CASTEP) module of Materials Studio (MS) for calculations. The Perdew-Burke-Ernzerhof (PBE) functionals in Generalized Gradient Approximation (GGA) method as well as the Grimme dispersion correction was used in this paper.",2024
Visco-energetic solutions for a model of crack growth in brittle materials,"Visco-energetic solutions have been recently advanced as a new solution concept for rate-independent systems, alternative to energetic solutions/ quasistatic evolutions and balanced viscosity solutions. In the spirit of this novel concept, we revisit the analysis of the variational model proposed by Francfort and Marigo for the quasi-static crack growth in brittle materials, in the case of antiplane shear. In this context, visco-energetic solutions can be constructed by perturbing the time incremental scheme for quasistatic evolutions by means of a viscous correction inspired by the term introduced by Almgren, Taylor, and Wang in the study of mean curvature flows. With our main result we prove the existence of a visco-energetic solution with a given initial crack. We also show that, if the cracks have a finite number of tips evolving smoothly on a given time interval, visco-energetic solutions comply with Griffith's criterion.",2024
Constructing Strategies and Applications of Nitrogen-Rich Energetic Metal-Organic Framework Materials,"The synthesis of energetic metal-organic frameworks (EMOFs) with one-dimensional, two-dimensional and three-dimensional structures is an effective strategy for developing new-generation high-energy-density and insensitive materials. The basic properties, models, synthetic strategies and applications of EMOF materials with nitrogen-rich energetic groups as ligands are reviewed. In contrast with traditional energetic materials, EMOFs exhibit some interesting characteristics, like tunable structure, diverse pores, high-density, high-detonation heat and so on. The traditional strategies to design EMOF materials with ideal properties are just to change the types and the size of energetic ligands and to select different metal ions. Recently, some new design concepts have come forth to produce more EMOFs materials with excellent properties, by modifying the energetic groups on the ligands and introducing highly energetic anion into skeleton, encapsulating metastable anions, introducing templates and so on. The paper points out that appropriate constructing strategy should be adopted according to the inherent characteristics of different EMOFs, by combining with functional requirements and considering the difficulties and the cost of production. To promote the development and application of EMOF materials, the more accurate and comprehensive synthesis, systematic performance measurement methods, theoretical calculation and structure simulation should be reinforced.",2020
Prediction of the Crystal Packing of Di-Tetrazine-Tetroxide (DTTO) Energetic Material,"Previous calculations suggested that di-tetrazine-tetroxide (DTTO), aka tetrazino-tetrazine-tetraoxide, might have a particularly large density (2.3 g/cm(3)) and high energy release (8.8 kJ/kg), but it has not yet been synthesized successfully. We report here density functional theory (DFT) (M06, B3LYP, and PBE-ulg) on 20 possible isomers of DTTO. For the two most stable isomers, c1 and c2 we predict the best packings (i.e., polymorphs) among the 10 most common space groups for organic molecular crystal using the Universal force field and Dreiding force field with Monte Carlo sampling. This was followed by DFT calculations at the PBE-ulg level to optimize the crystal packing. We conclude that the c1 isomer has the P2(1)2(1)2(1) space group with a density of 1.96 g/cm(3), while the c2 isomer has the Pbca space group with a density of 1.98 g/cm(3). These densities are among the highest of current energetic materials, RDX (1.81 g/cm(3)) and CL20 (2.01 g/cm(3)). We observe that the stability of the polymorphs increases with the density while the planarity decreases. (C) 2015 Wiley Periodicals, Inc.",2016
TECHNICAL TEXTILES AND THIN INSULATION MATERIALS. NEW SCENARIOS FOR THE ENERGETIC RETROFITTING,"In the building sector, there is a growing interest in the technical textiles, in particular as components for facades and also as potential replacements for the current options that seek energy efficiency through mass. The role of textiles in retrofitting from inside rooms is gaining more importance. The traditional wallpaper is evolving to interactive renovation possibilities by smart textiles, till to the thermal retrofitting. The paper deepens the feasible integration between wall covering textiles and thin super-insulating materials, coupling thermal function with sensorial and aesthetic ones. The goal is to identify which materials are suitable to achieve the new smart component. (C) 2015 The Authors. Published by Elsevier Ltd.",2015
Behavior of Energetic Materials in Ground Water at an Anti-Tank Range,"An environmental issue his arisen with M-72 malfunction on anti-tink ranges because many of these rockets break into pieces without exploding on impact, dispersing their energetic materials content on the ground surface and exposing them to transport by infiltration of rainfall and snowmelt. A case study (1998-2005) at Arnhem Anti-Tank Range (Garrison Valcartier, Canada, in operation since the 1970s) revealed octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMM) contamination and traces of 1,3,5-trinitro-1,3,5-triazine (RDX) and 2,4,6-trinitrotoluene (TNT) in ground water at varying concentrations, with all detected HMX concentrations below the USEPA guideline for drinking water of 400 mu g L-1. An HMX mass balance on a transect perpendicular to ground water flow, about 300 m downgradient of the impact area, indicated an HMX flux of about 3 g d(-1) (0.7-1 kg yr(-1), 2005). The HMX mass in the impact area on the sand terrace was estimated at 7 to 10 kg (in 2005). The annual dissolved HMX flux represents about 10% of the source. The dissolved HMX plume in ground water consisted of a series of slugs, generated at each significant infiltration event. HMX is weakly retarded by sorption and is neither biotransformed nor mineralized under the aerobic conditions of the aquifer. TNT and RDX exceeded the USEPA guideline (2 mu g L-1 RDX and 1 mu g L-1 TNT) in three mid two samples, respectively. The TNT Plume was discontinuous because this Compound was nor always present at the ground surface. TNT is biotransformed, weakly sorbed, and not mineralized. In two wells, perchlorate associated with the propellant was Found at concentrations above the Health Canada preliminary guideline of 6 mu g L-1 near the firing position.",2009
Theoretical study on initial decomposition paths of energetic materials featuring RDX ring,"The molecular properties of RDX are affected by the introduction of different functional groups, and the decomposition process of these analogues is studied in this paper. DFT method is used to study the initial decomposition reaction paths of 30 high energy materials based RDX skeleton. In the nitro cleavage reaction, the energy barrier become relatively low by introducing CH(NO2)(2) or -C(NO2)(3) groups on the C site of the six membered ring. In the ring opening reaction, the ring opening process is easier to proceed by introducing -NH2 or -NHNH2 groups on the C site of the six membered ring.",2024
Surface Modification of Space Exposed Materials Induced by Low Energetic Proton Irradiation,"The aim of this paper is to verify if commonly occurring space debris materials change their reflectivity and morphology after being exposed to low energy protons. Therefore, a set of six different materials frequently used in spacecraft engineering was irradiated with low energy (100 keV) protons to simulate the aging of their surfaces due to space radiation in low Earth orbit (LEO). A microscopic and spectroscopic analysis of the irradiated samples reveals that the tested materials containing organic polymers (Polytetrafluoroethylene (PTFE) and carbon fiber reinforced plastic (CFRP)) show changes in surface morphology. Metallic surfaces did not show surface modifications but we found changes in the reflectivity of coated polyimide sheets, like used in Multi Layer Insulation blankets, during and after proton irradiation. Our results show that space materials exhibit significant changes after irradiation equivalent to the dose accumulated after 100 years in LEO. This knowledge is highly relevant for the interpretation of optical data related to the observation of space debris as well as to studies about laser-matter interaction for laser-based debris removal.",
In-situ high pressure study of hydrogen-bonded energetic material N-nitropyrazole,"The study investigated the behavior of N-nitropyrazole (1-NP, C3H3N3O2) under high pressure using a diamond anvil cell, Raman spectroscopy, and simulation calculations. The pressure-volume relationship of the sample, molecular interactions, and changes in optical Raman were analyzed. The Raman experiments revealed abnormal vibration intensities and a discontinuity in peak position at 2.2 GPa. For instance, the C-H stretching vibration produces a new vibration peak under pressure, and the NO2 torsion mode continues to red shift beyond 2.2 GPa. These observations suggest that the crystal's phase transition results from the distortion of its hydrogen-bonded network structure. The pressure relief experiment confirms the reversibility of the phase transition.",2024
All-Nitrogen Energetic Material Cubic Gauche Polynitrogen: Plasma Synthesis and Thermal Performance,"Numerous theoretical calculations have demonstrated that polynitrogen with an extending polymeric network is an ultrahigh-energy all-nitrogen material. Typical samples, such as cubic gauche polynitrogen (cg-N), have been synthesized, but the thermal performance of polynitrogen has not been unambiguously determined. Herein, macroscopic samples of polynitrogen were synthesized utilizing a coated substrate, and their thermal decomposition behavior was investigated. Polynitrogen with carbon nanotubes was produced using a plasma-enhanced chemical vapor deposition method and characterized using infrared, Raman, X-ray diffraction X-ray photoelectron spectroscopy and transmission electron microscope. The results showed that the structure of the deposited polynitrogen was consistent with that of cg-N and the amount of deposition product obtained with coated substrates increased significantly. Differential scanning calorimetry (DSC) at various heating rates and TG-DSC-FTIR-MS analyses were performed. The thermal decomposition temperature of cg-N was determined to be 429 degrees C. The apparent activation energy (Ea) of cg-N calculated by the Kissinger and Ozawa equations was 84.7 kJ/mol and 91.9 kJ/mol, respectively, with a pre-exponential constant (lnAk) of 12.8 min-1. In this study, cg-N was demonstrated to be an all-nitrogen material with good thermal stability and application potential to high-energy-density materials.",2024
A Dihydrazone as a Remarkably Nitrogen-Rich Thermostable and Insensitive Energetic Material,"Hydrogenbonds (H-bonds) in energetic compounds have a very pronouncedeffect on physicochemical properties such as density, thermal stability,sensitivity, and solubility. Now a strategy to synthesize nitrogen-richenergetic materials with overall good properties, which stem fromthe synergetic effects of inter- or intramolecular H-bonds, is reported.1,2-Dihydrazono-1,2-di(1H-tetrazol-5-5-yl)ethane(4), a new thermostable and insensitive material, isobtained from the reaction of dioxime (2) with hydrazinehydrate. The exchange of the oxime (NOH) with the hydrazone (NNH2) functionality results in the reduced acidic character andlow solubility in water, which make it remarkably suitable for practicaluse. While the detonation velocity of 4 is comparablewith RDX, it has an advantage of high nitrogen content (76%) and highthermal stability (275 & DEG;C) and is insensitive toward externalstimuli.",2023
Characterization of encapsulated energetic materials for trace explosives aids for scent (TEAS),"Encapsulation is proposed as a safer way of handling energetic materials. Different encapsulation methods for explosives, such as solvent evaporation, spray coating and supercritical carbon dioxide assisted encapsulation, were explored. Explosive training aids, where energetic materials, such as triacetone triperoxide (TATP), erythritol tetranitrate (ETN) and trinitrotoluene (TNT), are encapsulated in a polymer matrix were developed, followed by comprehensive quality control testing, including differential scanning calorimetry (DSC), thermogravimetric analysis-infrared spectroscopy (TGA-IR), gas chromatography-mass spectrometry (GC-MS), high-resolution mass spectrometry (HRMS) and sensitivity testing, and finally field approved by canine units trained on the pure explosive.",2022
Search for stable cocrystals of energetic materials using the evolutionary algorithm USPEX,"Creating effective explosives with improved performance and physical properties is a challenging task. There are different methods to achieve this - creating completely new individual high-energy compounds or changing the characteristics of the already known ones. Cocrystallization is one of the ways to improve the critical properties of energetic materials. In this work we show that the crystal structure of stable molecular crystals and cocrystals of energetic molecules can be studied using the evolutionary algorithm USPEX coupled with forcefields orab initiocalculations. Here we show this through tests on PETN, TNT, HMX, CL-20, and TATB, and we separately consider the following compositions of cocrystals: DNDAP + CL-20 (4 : 8) and BTF + CL-20 (4 : 4). As a result, we found cocrytals of the previously known compositions and also novel cocrystals, which might also be stable in the experiment.",2020
Energetic Metal-Organic Frameworks Incorporating NH,"Energetic metal-organic frameworks (E-MOFs) have witnessed increasing development over the past several years. However, as a highly energetic cation, NH3OH+ has never been explored to construct transition-metal-based E-MOFs. Herein, we report the first examples of NH3OH+-containing E-MOFs with bis(tetrazole)methane (H(2)btm) as a ligand and copper and manganese as central metal ions, [(NH3OH)(2)(Cu(btm)(2))] and [(NH3OH)(2)(Mn(btm)(2))](n). Crystal structure determinations reveal that both E-MOFs show two-dimensional layered structures. Experimental results suggest that they have high thermal decomposition temperatures (>200 degrees C). Among them, Cu-based E-MOFs possesses outstanding thermal stability (T-dec = 230.3 degrees C), which surpasses those of known NH3OH+-containing compounds. They also have high energy density; in particular, the Cu-based E-MOF affords a high heat of combustion (11447 kJ kg(-1)) and high heat of detonation (713.8 kJ mol(-1)) beyond the most powerful organic explosives in use today. Additionally, the two E-MOFs show completely different sensitivity properties: the Mn-based E-MOF is an insensitive high-energy-density material (IS > 40 J; FS > 360 N; EDS > 20 J), while the Cu-based E-MOF can be classified as a sensitive energetic material (IS = 13 J; FS = 216 N; EDS = 10.25 J), demonstrating their diverse applications in different fields. Our research proposes a unique class of high-energy-density materials.",2019
PROTECTION AGAINST SHAPED CHARGE BY REACTIVE ARMORS CONTAINING ENERGETIC AND INERT MATERIALS,"Explosive reactive armor (ERA) is the most effective measure to defeat shaped charge warheads except for some drawbacks such as safety and damage. For these reasons, numerous studies on non-explosive reactive armor have been conducted. In this study, a series of ballistic tests against a shaped charge were performed to compare the effectiveness of several interlayer materials and to investigate the shaped charge jet behavior during and after penetration using flash radiograph. The considered materials are NBR, Dyneema HB26, and two non-detonating energetic materials. The materials were sandwiched between two metal plates and assembled as cassettes. Protection performances of the cassettes were analyzed with their mass efficiencies, and dynamic behaviors against shaped charge jet were investigated in terms of jet incidence angles, cassette deformation, length of leading jet and jet distortion time. The results indicate that the two non-detonating energetic materials are superior to NBR and Dyneema HB26 as an interlayer.",2013
Probing the Dynamics of Ultra-Fast Condensed State Reactions in Energetic Materials,"Energetic materials (EMs) are substances with a high amount of stored energy and the ability to release that energy at a rapid rate. Nanothermites and green organic energetics are two classes of EMs which have gained significant interest as they each have desirable properties over traditional explosives. These systems also possess downfalls, which could potentially be overcome if more were understood about the nature of their reactions. However, ultra-fast reactions are prominent during ignition and combustion, and increase the difficulty in probing the initial and intermediate reaction steps. The goal of this study is to probe the early phases of reaction in nanothermites and green EMs, and to do so we have developed a Temperature-Jump/Time-of-Flight Mass Spectrometer (T-Jump/TOFMS) capable of rapid sampling and heating rates. Various nanothermites have been investigated with this system, and analysis has shown that nanothermite ignition is dependent on the decomposition of the metal oxide, and in certain systems there is distinct evidence of condensed phase initiation. Carbon/metal oxide mixtures, which have application to chemical looping combustion, were also investigated and further demonstrate condensed phase reaction. Aside from mass spectrometry, complementary high heating rate SEM/TEM, pressure cell, and optical experiments were also performed. Many organic energetics including a variety of tetrazole containing ionic salts have also been examined. To investigate the breakdown of the tetrazole ring, a common substructure in green organic energetics, several tetrazole containing salts with minor variations in either functional group or anion composition were studied. Two main tetrazole decomposition pathways were identified and are affected by the placement of functional groups along the tetrazole ring. Many differences were also observed in comparison to previous works at slow heating rates due to either different reaction processes or the presence of secondary reactions in the previous studies. A µ-DSC experiment showed a decrease in activation energy for tetrazole containing materials under high heating rates, further suggesting different mechanistic processes are at play.",2012
Approaching the Thermostability Limit of Nitrogen-Rich Heterocyclic Perchlorate-Based Energetic Materials,"In recent years, driven by ever-increasing application of energetic materials in deep-seated mineral resource exploitation and aerospace engineering, the mining of advanced safe energetic materials with significant thermal stability has drawn widespread publicity. Here, a tricyclic bridged energetic compound 2-amino-4,6-bis(3,5-diamino-4-nitropyrazol-1-yl)-1,3,5-triazine (NPX-03) was prepared using simple synthetic route. Furthermore, an interesting highly thermostable nitrogen-rich perchlorate, NPX-03 2HClO(4) , was prepared by the self-assembly reaction of NPX-03 and HClO4, displaying a thermal decomposition peak temperature of 375.9 degrees C. Moreover, NPX-03 2HClO(4) exhibits good detonation velocity (D = 8187 m s(-1)) and insensitivity (IS = 50 J, FS > 360 N), thereby being promising candidates for advanced insensitive high-energy materials.",2024
Research on Insurance Method for Energetic Materials on Information Self-Destruction Chips,"Detonation waves released by energetic materials provide an important means of physical self-destruction (Psd) for information storage chips (ISCs) in the information insurance field and offer advantages that include a rapid response and low driving energy. The high electrical sensitivity of energetic materials means that they are easily triggered by leakage currents and electrostatic forces. Therefore, a Psd module based on a graphene-based insurance actuator heterogeneously integrated with energetic materials is proposed. First, the force-balance relation between the electrostatic van der Waals force and the elastic recovery force of the insurance actuator's graphene electrode is established to realize physical isolation and an electrical interconnection between the energetic materials and the peripheral electrical systems. Second, a numerical analysis of the detonation wave stress of the energetic materials in the air domain is performed, and the copper azide dosage required to achieve reliable ISC Psd is obtained. Third, the insurance actuator is prepared via graphene thin film processing and copper azide is prepared via an in situ reaction. The experimental results show that the energetic materials proposed can release physical isolation within 14 mu s and can achieve ISC Psd under the application of a voltage signal (4.4-4.65 V). Copper azide (0.45-0.52 mg) can achieve physical damage over an ISC area (23.37-35.84 mm(2)) within an assembly gap (0.05-0.25 mm) between copper azide and ISC. The proposed method has high applicability for information insurance.",2022
Atomic perspectives revealing the evolution behavior of aluminum nanoparticles in energetic materials,"Aluminum nanoparticles (ANP) are important components of modern energetic systems because of their excellent combustion performance. However, the underlying mechanism of ANP in energetic materials during ignition is unclear. Based on the ReaxFF-lg method, the oxidation mechanism of ANP in pentaerythritol tetranitrate (PETN) was analyzed from an atomic perspective, and the evolution of ANP from single and multi-particle models during ignition were studied. Adding ANP increases the heat release and accelerates the decomposition of PETN. ANP inhibits CO2 emissions and increases H2O yields. Both particle size and passivated layer influence the oxidation mechanisms due to different surface effects. The oxidation mechanism of smaller ANP is dominated by Al atom diffusion, but the larger ANP involves O inward diffusion and Al outward diffusion at both solid and melting states. An important behavior of chained C/Al clusters accumulation was observed during the later combustion, which agrees with the earlier experiments. The lattice diffusion aggregation of ANP and the aggregations of O/Al and C/Al cluster were revealed during the reaction. The calculated temperature distribution revealed that the hot spots in aluminized PETN originate from the oxidation heat release of ANP. This work provides an atomic perspective demonstration on the diffusion oxidation mechanism of ANP in energetic materials.",2021
Dimethoxycarbonyl Groups Surrounding a Symmetric Diaminobistetrazole Ring: Exploring New Green Energetic Materials,"A novel oxygen-containing dimethoxycarbonyl diaminobistetrazole (1) was synthesized via a facile strategy. The sodium salt (2) based on this ligand was prepared and these two compounds were fully characterized by using elemental analysis, IR and mass spectrometry and single-crystal X-ray diffraction. Their density, heats of formation, thermal stability and sensitivity, as well as the energetic properties from EXPLO5 code were investigated. These newly synthesized compounds possess high positive heats of formation and detonation heats. Compound 1 exhibits good detonation performance and acceptable stability, and might be a potential eco-friendly alternative of lead azide. The present study contributes to the development of tetrazole derivatives as new energetic materials.",2019
